TableSize,DataSize,insertStdMap,searchStdMap,deleteStdMap,insertStdHashMap,searchStdHashMap,deleteStdHashMap,insertChained,searchChained,deleteChained,attemptsChained,insertOpened_linear,searchOpened_linear,deleteOpened_linear,insertOpened_quadratic,searchOpened_quadratic,deleteOpened_quadratic,attemptsOpened_quadratic,insertOpened_double,searchOpened_double,deleteOpened_double,attemptsOpened_double,insertCuckoo,searchCuckoo,deleteCuckoo,attemptsCuckoo
36000,6000,5.966667,3.133333,6.433333,3.200000,0.700000,1.333333,2.333333,3.866667,3.666667,0.466667,2.666667,4.200000,3.233333,2.900000,4.433333,3.400000,0.200000,2.800000,4.300000,3.366667,0.100000,3.566667,3.066667,2.600000,0.000000
37000,6166,5.833333,3.000000,6.533333,3.200000,0.700000,1.333333,2.866667,3.800000,3.566667,0.400000,2.433333,4.233333,3.800000,2.800000,4.266667,3.333333,0.166667,6.200000,4.300000,3.300000,0.100000,3.500000,3.100000,2.700000,0.000000
38000,6333,5.800000,3.033333,6.366667,3.200000,0.766667,1.333333,2.700000,3.666667,3.500000,0.400000,2.400000,3.833333,2.900000,2.466667,3.900000,2.966667,0.066667,2.933333,4.433333,3.466667,0.166667,3.333333,2.900000,2.466667,0.000000
39000,6500,6.200000,3.066667,6.400000,3.366667,0.700000,1.333333,2.666667,4.100000,3.900000,0.633333,3.500000,4.933333,4.000000,3.300000,4.700000,3.766667,0.333333,3.300000,4.733333,3.800000,0.266667,3.333333,2.933333,2.466667,0.000000
40000,6666,5.866667,3.100000,6.366667,3.233333,0.666667,1.333333,3.000000,3.933333,3.766667,0.533333,2.933333,4.433333,3.966667,3.366667,4.733333,3.833333,0.300000,3.266667,4.733333,3.766667,0.233333,3.400000,2.966667,2.566667,0.000000
41000,6833,5.866667,3.066667,6.333333,3.200000,0.666667,1.300000,2.366667,3.833333,3.633333,0.500000,2.700000,4.133333,3.200000,2.933333,4.366667,3.533333,0.233333,2.966667,4.433333,3.500000,0.166667,3.466667,3.066667,2.633333,0.000000
42000,7000,5.866667,3.066667,6.566667,3.233333,0.700000,1.333333,2.166667,3.633333,3.466667,0.466667,2.433333,3.866667,2.966667,2.566667,3.966667,3.066667,0.133333,2.833333,4.233333,3.333333,0.166667,3.233333,2.833333,2.400000,0.000000
43000,7166,5.933333,3.100000,6.366667,3.133333,0.666667,1.333333,2.366667,3.800000,3.633333,0.500000,2.866667,4.333333,3.400000,3.066667,4.500000,3.633333,0.266667,3.000000,4.466667,3.600000,0.200000,3.366667,2.966667,2.533333,0.000000
44000,7333,6.100000,3.200000,6.633333,3.233333,0.733333,1.400000,2.366667,3.900000,3.733333,0.433333,2.600000,4.166667,3.133333,3.000000,4.533333,3.566667,0.233333,3.000000,4.566667,3.533333,0.133333,3.633333,3.200000,2.700000,0.000000
45000,7500,5.933333,3.133333,6.566667,3.300000,0.733333,1.400000,2.300000,3.833333,3.633333,0.433333,2.700000,4.200000,3.233333,2.600000,4.133333,3.166667,0.100000,2.966667,4.433333,3.500000,0.133333,3.466667,3.000000,2.600000,0.000000
46000,7666,5.800000,3.066667,6.566667,3.166667,0.700000,1.300000,2.400000,3.800000,3.666667,0.566667,3.133333,4.500000,3.633333,3.133333,4.566667,3.633333,0.300000,3.100000,4.400000,3.500000,0.200000,3.366667,2.933333,2.500000,0.000000
47000,7833,5.833333,3.033333,6.533333,3.266667,0.700000,1.366667,2.300000,3.833333,3.633333,0.433333,2.566667,4.066667,3.100000,2.766667,4.233333,3.300000,0.133333,2.800000,4.333333,3.366667,0.100000,3.566667,3.100000,2.666667,0.000000
48000,8000,6.500000,3.133333,6.533333,3.366667,0.733333,1.366667,2.533333,3.933333,3.733333,0.566667,3.500000,4.300000,3.433333,3.000000,4.366667,3.466667,0.233333,3.133333,4.600000,3.666667,0.233333,3.366667,2.900000,2.766667,0.000000
49000,8166,5.866667,3.100000,6.533333,103.766670,0.666667,1.266667,2.233333,3.600000,3.433333,0.533333,2.766667,4.133333,3.266667,2.900000,4.233333,3.333333,0.300000,3.300000,4.633333,3.766667,0.366667,3.166667,2.800000,2.333333,0.000000
50000,8333,5.933333,3.133333,6.666667,3.166667,0.666667,1.333333,2.366667,3.833333,3.600000,0.466667,2.666667,4.133333,3.200000,2.666667,4.166667,3.200000,0.133333,3.333333,4.766667,3.833333,0.266667,3.500000,3.100000,2.600000,0.000000
51000,8500,5.866667,3.133333,6.633333,3.100000,0.666667,1.300000,2.533333,3.966667,3.766667,0.633333,3.233333,4.633333,3.733333,3.266667,4.666667,3.766667,0.366667,3.300000,4.700000,3.766667,0.300000,3.366667,3.033333,2.533333,0.000000
52000,8666,6.166667,3.166667,6.533333,3.300000,0.666667,1.366667,2.300000,3.800000,3.600000,0.400000,2.466667,3.966667,3.033333,2.666667,4.200000,3.200000,0.100000,2.966667,4.466667,3.533333,0.133333,3.566667,3.100000,2.633333,0.000000
53000,8833,5.933333,3.133333,6.600000,3.100000,0.666667,1.300000,2.533333,4.000000,3.866667,0.600000,3.100000,4.566667,3.633333,3.266667,4.700000,3.800000,0.333333,5.533333,4.666667,3.800000,0.233333,3.433333,2.933333,2.533333,0.000000
54000,9000,6.100000,3.166667,6.633333,3.233333,0.666667,1.333333,2.266667,3.766667,3.600000,0.400000,2.433333,3.933333,3.000000,2.666667,4.133333,3.200000,0.100000,2.933333,4.366667,3.433333,0.133333,3.566667,3.166667,2.666667,0.000000
55000,9166,5.933333,3.100000,6.600000,3.100000,0.666667,1.266667,2.300000,3.733333,3.566667,0.500000,2.766667,4.200000,3.300000,3.133333,4.366667,3.433333,0.266667,6.300000,4.466667,3.500000,0.200000,3.366667,2.866667,2.500000,0.000000
56000,9333,5.900000,3.233333,6.633333,3.066667,0.666667,1.266667,2.400000,3.766667,3.600000,0.600000,2.966667,4.333333,3.433333,3.200000,4.533333,3.633333,0.333333,3.233333,4.566667,3.700000,0.300000,3.200000,2.800000,2.366667,0.000000
57000,9500,5.966667,3.166667,6.566667,3.100000,0.666667,1.266667,2.100000,3.466667,3.266667,0.400000,2.333333,3.700000,2.833333,2.400000,3.800000,2.900000,0.100000,2.500000,3.900000,3.033333,0.066667,3.133333,2.766667,2.366667,0.000000
58000,9666,6.100000,3.166667,6.866667,3.266667,0.733333,1.400000,2.566667,4.166667,3.933333,0.500000,3.266667,4.833333,3.833333,3.000000,4.533333,3.533333,0.166667,3.333333,4.900000,3.900000,0.200000,3.833333,3.366667,2.866667,0.000000
59000,9833,6.633333,3.500000,7.066667,3.766667,0.733333,1.400000,2.633333,4.200000,3.966667,0.533333,3.133333,4.700000,3.700000,3.300000,4.866667,3.900000,0.266667,5.566667,5.000000,3.966667,0.233333,3.700000,3.200000,2.733333,0.000000
60000,10000,6.100000,3.200000,6.800000,3.300000,0.666667,1.366667,2.566667,4.133333,3.966667,0.566667,3.233333,4.766667,3.800000,3.266667,4.766667,3.766667,0.300000,3.366667,4.866667,3.900000,0.266667,3.600000,3.166667,2.700000,0.000000
61000,10166,6.033333,3.266667,6.733333,3.200000,0.666667,1.300000,2.333333,3.800000,3.633333,0.500000,2.766667,4.233333,3.300000,2.733333,4.166667,3.300000,0.166667,2.933333,4.333333,3.433333,0.166667,3.333333,2.933333,2.466667,0.000000
62000,10333,7.266667,3.200000,6.666667,3.266667,0.666667,1.366667,2.700000,4.300000,4.100000,0.533333,3.400000,4.833333,3.800000,5.066667,4.966667,3.933333,0.266667,3.533333,5.066667,4.033333,0.233333,3.733333,3.233333,2.766667,0.000000
63000,10500,6.133333,3.233333,6.766667,3.300000,0.666667,1.366667,3.000000,4.466667,4.266667,0.800000,3.733333,5.300000,4.266667,3.833333,5.300000,4.300000,0.500000,3.866667,5.333333,4.300000,0.400000,3.700000,3.233333,2.766667,0.000000
64000,10666,6.166667,3.200000,6.700000,3.133333,0.700000,1.333333,2.566667,4.066667,3.866667,0.566667,3.166667,4.666667,3.666667,3.166667,4.666667,3.700000,0.266667,3.333333,4.800000,3.833333,0.233333,3.533333,3.100000,2.666667,0.000000
65000,10833,6.200000,3.266667,6.866667,3.133333,0.666667,1.333333,2.900000,3.966667,3.766667,0.533333,2.866667,4.300000,3.333333,3.066667,4.466667,3.533333,0.233333,3.233333,4.600000,3.600000,0.200000,5.866667,3.133333,2.666667,0.000000
66000,11000,6.033333,3.233333,6.833333,3.200000,0.700000,1.333333,2.666667,4.200000,3.933333,0.566667,3.266667,4.800000,3.800000,3.233333,4.733333,3.766667,0.233333,3.333333,4.833333,3.866667,0.233333,3.566667,3.066667,2.666667,0.000000
67000,11166,6.066667,3.166667,6.766667,3.233333,0.700000,1.333333,2.166667,3.733333,3.500000,0.333333,2.366667,3.900000,2.900000,2.333333,3.866667,2.900000,0.000000,2.533333,4.033333,3.100000,0.000000,3.566667,3.100000,2.700000,0.000000
68000,11333,6.100000,3.300000,6.800000,3.066667,0.633333,1.300000,2.300000,3.766667,3.566667,0.433333,2.933333,4.500000,3.400000,2.866667,4.833333,3.700000,0.166667,3.033333,4.466667,3.500000,0.166667,3.433333,2.966667,2.633333,0.000000
69000,11500,6.066667,3.200000,6.766667,5.833333,1.066667,2.133333,2.300000,3.766667,3.566667,0.533333,2.766667,4.166667,3.233333,2.866667,4.300000,3.366667,0.233333,2.900000,4.266667,3.333333,0.166667,3.300000,2.900000,2.900000,0.000000
70000,11666,6.166667,3.333333,6.833333,3.200000,0.666667,1.366667,2.266667,3.766667,3.633333,0.366667,2.400000,3.900000,2.933333,2.500000,4.066667,3.700000,0.066667,6.566667,4.400000,3.400000,0.100000,3.600000,3.100000,2.666667,0.000000
71000,11833,6.166667,3.300000,6.800000,3.333333,0.766667,1.400000,2.400000,3.833333,3.600000,0.466667,3.400000,4.100000,3.233333,2.766667,4.166667,3.300000,0.166667,3.066667,4.433333,3.500000,0.166667,3.333333,2.933333,2.500000,0.000000
72000,12000,6.066667,3.300000,6.700000,3.100000,0.666667,1.266667,2.333333,3.600000,3.433333,0.600000,2.800000,4.100000,3.233333,4.833333,4.100000,3.233333,0.266667,2.900000,4.233333,3.366667,0.233333,3.000000,2.666667,2.266667,0.000000
73000,12166,5.966667,3.166667,6.733333,3.200000,0.700000,1.333333,2.200000,3.700000,3.466667,0.400000,2.533333,3.966667,3.066667,2.800000,4.800000,3.266667,0.166667,2.833333,4.266667,3.333333,0.100000,3.400000,2.966667,2.533333,0.000000
74000,12333,6.500000,3.266667,7.033333,3.266667,0.733333,1.400000,2.333333,3.933333,3.666667,0.400000,2.533333,4.066667,3.066667,2.966667,4.466667,3.533333,0.166667,2.800000,4.333333,3.366667,0.066667,3.633333,3.100000,2.633333,0.000000
75000,12500,5.900000,3.100000,6.666667,3.200000,0.700000,1.333333,2.533333,3.866667,3.700000,0.600000,3.466667,4.866667,4.033333,3.033333,4.433333,3.466667,0.266667,3.333333,4.700000,3.800000,0.300000,3.366667,3.033333,2.533333,0.000000
76000,12666,6.000000,3.166667,6.800000,3.166667,0.666667,1.300000,2.633333,4.066667,3.866667,0.533333,3.133333,4.566667,3.600000,3.433333,4.866667,3.866667,0.333333,3.033333,4.500000,3.566667,0.166667,3.466667,3.000000,2.566667,0.000000
77000,12833,6.000000,3.200000,6.833333,3.166667,0.666667,1.300000,2.300000,3.766667,3.566667,0.500000,2.966667,4.366667,3.500000,2.800000,4.133333,3.233333,0.166667,2.933333,4.333333,3.433333,0.166667,3.233333,2.866667,2.400000,0.000000
78000,13000,6.133333,3.300000,6.933333,3.100000,0.666667,1.266667,2.066667,3.466667,3.300000,0.466667,2.400000,3.700000,2.833333,2.433333,3.766667,2.966667,0.133333,5.266667,9.200000,6.866667,0.233333,3.166667,2.800000,2.366667,0.000000
79000,13166,7.400000,4.933333,6.966667,3.333333,0.700000,1.300000,2.500000,6.266667,4.066667,0.566667,5.900000,7.033333,7.000000,3.766667,4.866667,5.700000,0.300000,3.633333,5.066667,4.033333,0.233333,3.866667,4.266667,2.866667,0.000000
80000,13333,6.300000,3.200000,6.900000,3.600000,0.733333,1.433333,2.833333,4.266667,4.066667,0.600000,3.166667,4.766667,3.633333,3.500000,4.900000,3.866667,0.300000,3.666667,5.133333,4.100000,0.300000,3.800000,3.266667,3.833333,0.000000
81000,13500,6.266667,3.333333,6.900000,3.400000,0.733333,1.333333,4.400000,6.900000,6.500000,0.566667,3.200000,4.533333,4.233333,3.466667,4.800000,3.866667,0.366667,3.266667,4.666667,3.766667,0.233333,3.266667,2.833333,2.400000,0.000000
82000,13666,6.100000,3.266667,6.700000,3.200000,0.700000,1.333333,2.400000,3.866667,3.666667,0.533333,3.900000,4.733333,3.800000,2.966667,4.333333,3.400000,0.233333,3.133333,4.566667,3.633333,0.233333,3.466667,3.033333,2.566667,0.000000
83000,13833,6.100000,3.233333,6.933333,3.333333,0.700000,1.333333,2.566667,3.833333,3.600000,0.433333,2.866667,4.366667,3.366667,2.800000,4.233333,3.266667,0.166667,3.266667,4.700000,3.800000,0.266667,3.466667,3.066667,2.600000,0.000000
84000,14000,6.100000,3.233333,6.800000,3.200000,0.700000,1.300000,2.266667,3.633333,3.433333,0.433333,2.400000,3.833333,2.933333,2.733333,4.100000,3.200000,0.166667,6.666667,4.366667,3.433333,0.166667,3.400000,3.000000,2.533333,0.000000
85000,14166,6.266667,3.266667,6.966667,3.233333,0.700000,1.366667,2.400000,3.900000,3.733333,0.500000,2.633333,4.166667,3.200000,2.733333,4.233333,3.266667,0.166667,3.233333,4.733333,3.666667,0.233333,3.833333,3.366667,2.800000,0.000000
86000,14333,6.400000,3.333333,6.933333,3.266667,0.700000,1.366667,2.533333,4.066667,3.866667,0.566667,3.000000,4.466667,3.500000,3.166667,4.633333,3.700000,0.266667,3.733333,5.166667,4.166667,0.333333,3.500000,3.000000,2.566667,0.000000
87000,14500,6.433333,3.333333,7.033333,3.300000,0.700000,1.333333,2.533333,5.300000,3.666667,0.533333,3.033333,4.366667,3.466667,3.100000,4.566667,3.566667,0.333333,3.066667,4.533333,3.600000,0.233333,3.400000,2.966667,2.500000,0.000000
88000,14666,6.000000,3.266667,6.733333,3.133333,0.733333,1.333333,2.466667,3.666667,3.500000,0.500000,3.166667,3.966667,3.066667,2.900000,4.233333,3.333333,0.233333,2.933333,4.333333,3.433333,0.200000,3.266667,2.866667,2.400000,0.000000
89000,14833,6.166667,3.300000,7.066667,3.300000,0.700000,1.366667,2.366667,3.833333,3.666667,0.400000,2.600000,4.166667,3.133333,2.900000,4.733333,3.466667,0.066667,3.233333,4.766667,3.700000,0.066667,6.066667,3.066667,2.666667,0.000000
90000,15000,6.366667,3.300000,6.933333,3.333333,0.700000,1.366667,2.466667,3.966667,3.766667,0.433333,2.700000,4.200000,3.200000,2.766667,4.300000,3.266667,0.100000,2.966667,4.466667,3.500000,0.100000,3.666667,3.200000,2.733333,0.000000
91000,15166,6.333333,3.233333,6.933333,3.300000,0.766667,1.400000,2.600000,4.166667,3.933333,0.600000,3.366667,4.800000,3.833333,3.233333,4.666667,3.733333,0.300000,3.300000,4.766667,3.766667,0.233333,5.900000,3.200000,2.733333,0.000000
92000,15333,6.466667,3.333333,7.000000,3.433333,0.700000,1.333333,2.400000,3.900000,3.700000,0.533333,2.966667,4.400000,3.433333,2.866667,4.333333,3.366667,0.200000,3.100000,4.566667,3.566667,0.200000,3.466667,3.100000,2.566667,0.000000
93000,15500,6.166667,3.300000,7.200000,3.200000,0.666667,1.300000,2.266667,3.633333,3.433333,0.500000,2.966667,3.900000,3.000000,2.700000,3.966667,3.066667,0.166667,2.733333,4.133333,3.233333,0.133333,3.166667,2.766667,2.366667,0.000000
94000,15666,6.233333,3.300000,6.966667,3.466667,0.700000,1.400000,2.766667,4.266667,4.066667,0.600000,3.400000,4.900000,3.900000,4.100000,5.033333,4.033333,0.333333,3.300000,4.833333,3.833333,0.200000,4.000000,3.333333,2.866667,0.000000
95000,15833,6.100000,3.533333,6.833333,3.100000,0.666667,1.300000,2.200000,3.566667,3.400000,0.466667,2.566667,3.933333,3.100000,2.766667,4.100000,3.300000,0.200000,2.900000,4.300000,3.400000,0.200000,3.300000,5.500000,2.533333,0.000000
96000,16000,6.233333,3.300000,6.966667,3.266667,0.666667,1.433333,2.666667,4.100000,3.900000,0.700000,3.300000,4.733333,3.800000,3.400000,4.833333,3.866667,0.400000,3.800000,5.200000,4.666667,0.433333,3.500000,3.100000,2.600000,0.000000
97000,16166,6.300000,3.333333,7.133333,3.333333,0.700000,1.400000,2.533333,4.033333,3.833333,0.466667,2.800000,4.300000,3.300000,2.866667,4.400000,3.433333,0.133333,3.066667,4.600000,3.600000,0.133333,3.833333,3.366667,2.900000,0.000000
98000,16333,7.400000,3.600000,7.633333,3.700000,0.766667,1.466667,2.866667,4.700000,4.233333,0.500000,3.100000,4.533333,3.566667,4.966667,4.466667,3.500000,0.200000,3.366667,4.833333,3.900000,0.233333,3.600000,3.100000,2.700000,0.000000
99000,16500,6.400000,3.266667,6.833333,3.133333,0.666667,1.333333,2.400000,3.833333,3.700000,0.566667,2.933333,4.333333,3.466667,2.900000,4.333333,3.366667,0.266667,3.133333,4.600000,3.633333,0.266667,3.533333,3.133333,2.600000,0.000000
100000,16666,6.966667,3.400000,7.066667,3.200000,0.666667,1.333333,2.533333,4.033333,3.833333,0.500000,2.900000,4.400000,3.433333,3.266667,4.733333,3.733333,0.266667,3.500000,5.000000,4.000000,0.300000,3.700000,3.133333,2.733333,0.000000
